setid,number,numbervariant,name,year,theme,themegroup,subtheme,pieces,minifigs,image,imagefilename,thumbnailurl,largethumbnailurl,imageurl,brickseturl,released,owned,wanted,qtyowned,usernotes,acmdatacount,ownedbytotal,wantedbytotal,ukretailprice,usretailprice,caretailprice,euretailprice,usdateaddedtosah,usdateremovedfromsah,rating,reviewcount,packagingtype,availability,instructionscount,additionalimagecount,agemin,agemax,height,width,depth,weight,category,userrating,ean,upc,lastupdated
25614,31052,1,Vacation Getaways,2016,Creator,Model making,,792,2,true,31052-1,https://images.brickset.com/sets/small/31052-1.jpg,https://images.brickset.com/sets/small/31052-1.jpg,https://images.brickset.com/sets/images/31052-1.jpg,https://brickset.com/sets/31052-1,true,false,false,0,,0,6943,2567,54.99,69.99,89.99,59.99,2016-05-22,2017-11-09,5,2,Box,Retail,3,2,9,14,28.194,54.0004,5.8928,1.401599,Normal,0,5702015590020,673419246866,2016-11-02T20:27:11.66
25615,31053,1,Treehouse Adventures,2016,Creator,Model making,,387,2,true,31053-1,https://images.brickset.com/sets/small/31053-1.jpg,https://images.brickset.com/sets/small/31053-1.jpg,https://images.brickset.com/sets/images/31053-1.jpg,https://brickset.com/sets/31053-1,true,false,false,0,,0,3318,1650,24.99,34.99,44.99,29.99,2016-05-22,2017-11-25,5,2,Box,Retail,7,6,7,12,26.2128,28.194,5.8928,0.7030676,Normal,0,5702015590013,673419246859,2016-07-10T01:10:10.01
26425,31058,1,Mighty Dinosaurs,2017,Creator,Model making,,174,NA,true,31058-1,https://images.brickset.com/sets/small/31058-1.jpg,https://images.brickset.com/sets/small/31058-1.jpg,https://images.brickset.com/sets/images/31058-1.jpg,https://brickset.com/sets/31058-1,true,false,false,0,,0,6235,774,12.99,14.99,17.99,14.99,2016-11-27,,4.66666666666667,3,Box,Retail,6,5,7,12,14.097,26.2128,4.8006,0.2358678,Normal,0,5702015867535,673419266482,2018-05-11T04:10:02.023
26426,31059,1,Sunset Street Bike,2017,Creator,Model making,,194,NA,true,31059-1,https://images.brickset.com/sets/small/31059-1.jpg,https://images.brickset.com/sets/small/31059-1.jpg,https://images.brickset.com/sets/images/31059-1.jpg,https://brickset.com/sets/31059-1,true,false,false,0,,0,859,297,17.99,19.99,24.99,19.99,2016-11-27,2017-12-02,0,0,Box,Retail,6,5,8,12,19.1008,26.2128,6.096,0.3674095,Normal,0,,673419266499,2017-12-10T05:03:46.663
26427,31060,1,Airshow Aces,2017,Creator,Model making,,246,NA,true,31060-1,https://images.brickset.com/sets/small/31060-1.jpg,https://images.brickset.com/sets/small/31060-1.jpg,https://images.brickset.com/sets/images/31060-1.jpg,https://brickset.com/sets/31060-1,true,false,false,0,,0,945,297,17.99,19.99,24.99,19.99,2016-11-27,2017-11-24,5,1,Box,Retail,6,13,7,12,19.1008,26.2128,4.5974,0.3583377,Normal,0,,673419266505,2016-11-10T15:29:34.28
26429,31062,1,Robo Explorer,2017,Creator,Model making,,205,NA,true,31062-1,https://images.brickset.com/sets/small/31062-1.jpg,https://images.brickset.com/sets/small/31062-1.jpg,https://images.brickset.com/sets/images/31062-1.jpg,https://brickset.com/sets/31062-1,true,false,false,0,,0,4230,735,17.99,19.99,24.99,17.99,2017-01-02,2019-02-20,5,3,Box,Retail,6,7,7,12,19.1008,26.2128,4.5974,0.3175144,Normal,0,,673419266512,2016-12-05T03:16:04.207
26430,31063,1,Beachside Vacation,2017,Creator,Model making,,275,2,true,31063-1,https://images.brickset.com/sets/small/31063-1.jpg,https://images.brickset.com/sets/small/31063-1.jpg,https://images.brickset.com/sets/images/31063-1.jpg,https://brickset.com/sets/31063-1,true,false,false,0,,0,2763,1158,19.99,29.99,39.99,26.99,2017-01-02,2018-03-04,4,1,Box,Retail,7,10,7,12,19.1008,35.4076,5.8928,0.5805978,Normal,0,,673419266529,2016-11-14T15:56:12.113
26431,31064,1,Island Adventures,2017,Creator,Model making,,359,1,true,31064-1,https://images.brickset.com/sets/small/31064-1.jpg,https://images.brickset.com/sets/small/31064-1.jpg,https://images.brickset.com/sets/images/31064-1.jpg,https://brickset.com/sets/31064-1,true,false,false,0,,0,1799,905,19.99,34.99,44.99,29.99,2017-01-02,2018-01-28,4.75,4,Box,Retail,7,8,7,12,19.1008,35.4076,7.0104,0.621421,Normal,0,,673419266536,2017-02-11T09:40:06.877
26432,31065,1,Park Street Townhouse,2017,Creator,Model making,,566,2,true,31065-1,https://images.brickset.com/sets/small/31065-1.jpg,https://images.brickset.com/sets/small/31065-1.jpg,https://images.brickset.com/sets/images/31065-1.jpg,https://brickset.com/sets/31065-1,true,false,false,0,,0,3683,2079,44.99,49.99,64.99,49.99,2017-01-02,2017-11-27,4,2,Box,Retail,7,10,8,12,28.194,48.006,6.096,1.075013,Normal,0,,673419266543,2016-11-14T15:57:16.97
26743,31066,1,Space Shuttle Explorer,2017,Creator,Model making,,285,1,true,31066-1,https://images.brickset.com/sets/small/31066-1.jpg,https://images.brickset.com/sets/small/31066-1.jpg,https://images.brickset.com/sets/images/31066-1.jpg,https://brickset.com/sets/31066-1,true,false,false,0,,0,3659,1196,24.99,29.99,44.99,29.99,2017-05-29,2018-11-24,4.66666666666667,3,Box,Retail,6,8,7,12,19.1008,35.4076,5.8928,0.5533822,Normal,0,,673419266550,2017-05-16T13:54:32.527
26740,31067,1,Modular Poolside Holiday,2017,Creator,Model making,Modular,356,2,true,31067-1,https://images.brickset.com/sets/small/31067-1.jpg,https://images.brickset.com/sets/small/31067-1.jpg,https://images.brickset.com/sets/images/31067-1.jpg,https://brickset.com/sets/31067-1,true,false,false,0,,0,2805,1485,19.99,29.99,39.99,24.99,2017-05-29,2018-07-07,3,1,Box,Retail,2,10,7,12,19.1008,35.4076,7.0104,0.5896696,Normal,0,,673419266567,2017-06-09T20:03:59.777
26741,31068,1,Modular Modern Home,2017,Creator,Model making,Modular,386,2,true,31068-1,https://images.brickset.com/sets/small/31068-1.jpg,https://images.brickset.com/sets/small/31068-1.jpg,https://images.brickset.com/sets/images/31068-1.jpg,https://brickset.com/sets/31068-1,true,false,false,0,,0,3252,1659,27.99,29.99,49.99,34.99,2017-05-29,2018-11-26,4.5,2,Box,Retail,4,8,8,12,26.2128,38.2016,5.6388,0.739355,Normal,0,,673419266574,2017-06-09T20:04:52.193
26742,31069,1,Modular Family Villa,2017,Creator,Model making,Modular,728,3,true,31069-1,https://images.brickset.com/sets/small/31069-1.jpg,https://images.brickset.com/sets/small/31069-1.jpg,https://images.brickset.com/sets/images/31069-1.jpg,https://brickset.com/sets/31069-1,true,false,false,0,,0,2653,1783,44.99,69.99,89.99,59.99,2017-05-29,2018-12-28,4,1,Box,Retail,4,9,8,12,28.194,48.006,7.3914,1.442423,Normal,0,,673419266581,2017-06-09T20:06:13.703
26744,31070,1,Turbo Track Racer,2017,Creator,Model making,,664,NA,true,31070-1,https://images.brickset.com/sets/small/31070-1.jpg,https://images.brickset.com/sets/small/31070-1.jpg,https://images.brickset.com/sets/images/31070-1.jpg,https://brickset.com/sets/31070-1,true,false,false,0,,0,1779,700,54.99,59.99,74.99,49.99,2017-05-29,2019-01-24,5,3,Box,Retail,4,7,9,12,28.194,48.006,6.096,1.147588,Normal,0,,673419266598,2017-05-16T13:54:40.647
27462,31073,1,Mythical Creatures,2018,Creator,Model making,,223,NA,true,31073-1,https://images.brickset.com/sets/small/31073-1.jpg,https://images.brickset.com/sets/small/31073-1.jpg,https://images.brickset.com/sets/images/31073-1.jpg,https://brickset.com/sets/31073-1,true,false,false,0,,0,2636,489,12.99,14.99,17.99,14.99,2018-01-01,2020-01-13,4.66666666666667,3,Box,Retail,8,5,7,12,14.1,26.2,4.8,0.3,Normal,0,5702016111804,673419283274,2018-05-19T16:44:07.483
27467,31074,1,Rocket Rally Car,2018,Creator,Model making,,241,NA,true,31074-1,https://images.brickset.com/sets/small/31074-1.jpg,https://images.brickset.com/sets/small/31074-1.jpg,https://images.brickset.com/sets/images/31074-1.jpg,https://brickset.com/sets/31074-1,true,false,false,0,,0,1360,386,17.99,19.99,24.99,19.99,2018-01-01,2020-01-11,0,0,Box,Retail,4,5,7,12,19.1,26.2,6.1,0.44,Normal,0,5702016111798,673419283267,2017-12-29T19:39:39.513
27468,31075,1,Outback Adventures,2018,Creator,Model making,,225,1,true,31075-1,https://images.brickset.com/sets/small/31075-1.jpg,https://images.brickset.com/sets/small/31075-1.jpg,https://images.brickset.com/sets/images/31075-1.jpg,https://brickset.com/sets/31075-1,true,false,false,0,,0,1676,856,17.99,19.99,24.99,19.99,2017-11-26,2018-12-29,4,2,Box,Retail,6,9,7,12,19,26,6,0.393,Normal,0,5702016075069,,2018-04-06T02:08:46.023
27464,31076,1,Daredevil Stunt Plane,2018,Creator,Model making,,200,1,true,31076-1,https://images.brickset.com/sets/small/31076-1.jpg,https://images.brickset.com/sets/small/31076-1.jpg,https://images.brickset.com/sets/images/31076-1.jpg,https://brickset.com/sets/31076-1,true,false,false,0,,0,2002,722,17.99,19.99,24.99,19.99,2017-11-26,2018-12-11,4,2,Box,Retail,6,5,7,12,18.9,26,4.5,,Normal,0,5702016092776,,2018-02-25T00:42:20.62
27814,31077,1,Modular Sweet Surprises,2018,Creator,Model making,,396,3,true,31077-1,https://images.brickset.com/sets/small/31077-1.jpg,https://images.brickset.com/sets/small/31077-1.jpg,https://images.brickset.com/sets/images/31077-1.jpg,https://brickset.com/sets/31077-1,true,false,false,0,,0,2811,1305,34.99,39.99,49.99,34.99,2018-06-02,2019-12-04,0,0,Box,Retail,6,4,8,12,26,38,5.3,0.719,Normal,0,5702016111781,673419283250,2018-08-12T01:58:20.233
28065,31078,1,Tree House Treasures ,2018,Creator,Model making,,260,2,true,31078-1,https://images.brickset.com/sets/small/31078-1.jpg,https://images.brickset.com/sets/small/31078-1.jpg,https://images.brickset.com/sets/images/31078-1.jpg,https://brickset.com/sets/31078-1,true,false,false,0,,0,2072,1104,29.99,29.99,39.99,29.99,2018-08-01,,3,1,Box,{Not specified},6,4,NA,,,,,,Normal,0,5702016111774,,2018-06-16T16:50:56.543
27460,31079,1,Sunshine Surfer Van,2018,Creator,Model making,,379,2,true,31079-1,https://images.brickset.com/sets/small/31079-1.jpg,https://images.brickset.com/sets/small/31079-1.jpg,https://images.brickset.com/sets/images/31079-1.jpg,https://brickset.com/sets/31079-1,true,false,false,0,,0,4586,1478,24.99,34.99,39.99,29.99,2018-01-01,2020-01-11,4,1,Box,Retail,6,10,8,12,19,35.2,5.8,0.6,Normal,0,5702016111262,673419282833,2018-01-22T02:27:59.65
27461,31080,1,Modular Winter Vacation,2018,Creator,Model making,Modular,374,2,true,31080-1,https://images.brickset.com/sets/small/31080-1.jpg,https://images.brickset.com/sets/small/31080-1.jpg,https://images.brickset.com/sets/images/31080-1.jpg,https://brickset.com/sets/31080-1,true,false,false,0,,0,2062,1153,24.99,34.99,44.99,29.99,2018-01-01,2018-11-24,0,0,Box,Retail,6,13,7,12,19,35.2,6.7,,Normal,0,5702016111255,,2018-05-07T02:09:13.62
27463,31081,1,Modular Skate House,2018,Creator,Model making,Modular,422,2,true,31081-1,https://images.brickset.com/sets/small/31081-1.jpg,https://images.brickset.com/sets/small/31081-1.jpg,https://images.brickset.com/sets/images/31081-1.jpg,https://brickset.com/sets/31081-1,true,false,false,0,,0,2178,1237,34.99,39.99,49.99,39.99,2017-11-26,2019-09-29,4,1,Box,Retail,2,12,8,12,26,38,5.3,0.81,Normal,0,5702016092783,673419280075,2018-05-06T22:51:24.76
27815,31083,1,Cruising Adventures,2018,Creator,Model making,,597,3,true,31083-1,https://images.brickset.com/sets/small/31083-1.jpg,https://images.brickset.com/sets/small/31083-1.jpg,https://images.brickset.com/sets/images/31083-1.jpg,https://brickset.com/sets/31083-1,true,false,false,0,,0,1798,1005,44.99,59.99,79.99,49.99,2018-06-02,2020-01-13,4,1,Box,Retail,2,4,NA,,28.2,48,6.1,1.19,Normal,0,5702016267006,673419282819,2018-07-29T14:56:02.373
27816,31085,1,Mobile Stunt Show,2018,Creator,Model making,,581,2,true,31085-1,https://images.brickset.com/sets/small/31085-1.jpg,https://images.brickset.com/sets/small/31085-1.jpg,https://images.brickset.com/sets/images/31085-1.jpg,https://brickset.com/sets/31085-1,true,false,false,0,,0,829,544,44.99,49.99,64.99,49.99,2018-06-02,2019-01-08,0,0,Box,Retail,2,4,NA,,,,,,Normal,0,,,2018-06-11T02:31:13.427
28426,31086,1,Futuristic Flyer,2019,Creator,Model making,,157,NA,true,31086-1,https://images.brickset.com/sets/small/31086-1.jpg,https://images.brickset.com/sets/small/31086-1.jpg,https://images.brickset.com/sets/images/31086-1.jpg,https://brickset.com/sets/31086-1,true,false,false,0,,0,735,323,14.99,14.99,19.99,14.99,2019-01-02,,4.5,2,Box,Retail,6,5,NA,,14.1,26.2,4.8,0.27,Normal,0,5702016367812,673419302074,2018-11-22T19:39:13.04
28427,31087,1,Dune Buggy,2019,Creator,Model making,,147,NA,true,31087-1,https://images.brickset.com/sets/small/31087-1.jpg,https://images.brickset.com/sets/small/31087-1.jpg,https://images.brickset.com/sets/images/31087-1.jpg,https://brickset.com/sets/31087-1,true,false,false,0,,0,832,262,12.99,12.99,17.99,12.99,2019-01-01,,4,1,Box,Retail,6,5,NA,,14.1,19.1,6.1,0.25,Normal,0,5702016367829,673419302081,2018-11-18T21:31:38.617
28400,31088,1,Deep Sea Creatures,2019,Creator,Model making,,230,NA,true,31088-1,https://images.brickset.com/sets/small/31088-1.jpg,https://images.brickset.com/sets/small/31088-1.jpg,https://images.brickset.com/sets/images/31088-1.jpg,https://brickset.com/sets/31088-1,true,false,false,0,,0,3353,803,12.99,14.99,19.99,14.99,2019-01-01,,4.5,2,Box,Retail,6,5,NA,,14.1,26.2,4.8,0.31,Normal,0,5702016367836,673419302098,2019-12-21T19:56:00.59
28425,31089,1,Sunset Track Racer,2019,Creator,Model making,,221,NA,true,31089-1,https://images.brickset.com/sets/small/31089-1.jpg,https://images.brickset.com/sets/small/31089-1.jpg,https://images.brickset.com/sets/images/31089-1.jpg,https://brickset.com/sets/31089-1,true,false,false,0,,0,762,336,17.99,19.99,24.99,19.99,2019-01-01,,5,1,Box,Retail,6,6,NA,,19.1,26.2,6.1,0.38,Normal,0,5702016367843,673419302104,2018-11-18T21:27:38.13
28401,31090,1,Underwater Robot,2019,Creator,Model making,,207,NA,true,31090-1,https://images.brickset.com/sets/small/31090-1.jpg,https://images.brickset.com/sets/small/31090-1.jpg,https://images.brickset.com/sets/images/31090-1.jpg,https://brickset.com/sets/31090-1,true,false,false,0,,0,1185,531,17.99,19.99,24.99,19.99,2019-01-01,,4.66666666666667,3,Box,Retail,6,5,NA,,19.1,26.2,6.1,0.36,Normal,0,5702016367850,673419302111,2018-11-20T02:27:39.77
28424,31091,1,Shuttle Transporter,2019,Creator,Model making,,341,NA,true,31091-1,https://images.brickset.com/sets/small/31091-1.jpg,https://images.brickset.com/sets/small/31091-1.jpg,https://images.brickset.com/sets/images/31091-1.jpg,https://brickset.com/sets/31091-1,true,false,false,0,,0,1133,550,24.99,24.99,34.99,24.99,2019-01-01,,5,2,Box,Retail,4,7,NA,,19.1,35.4,5.9,0.51,Normal,0,5702016367867,673419302128,2018-11-18T21:23:08.193
28500,31093,1,Riverside Houseboat,2019,Creator,Model making,,396,2,true,31093-1,https://images.brickset.com/sets/small/31093-1.jpg,https://images.brickset.com/sets/small/31093-1.jpg,https://images.brickset.com/sets/images/31093-1.jpg,https://brickset.com/sets/31093-1,true,false,false,0,,0,1791,1168,24.99,39.99,49.99,29.99,2019-01-02,,4,1,Box,Retail,2,5,7,,19.1,35.4,7,0.67,Normal,0,5702016367874,673419302135,2019-06-20T10:57:19.25
28499,31094,1,Race Plane,2019,Creator,Model making,,333,1,true,31094-1,https://images.brickset.com/sets/small/31094-1.jpg,https://images.brickset.com/sets/small/31094-1.jpg,https://images.brickset.com/sets/images/31094-1.jpg,https://brickset.com/sets/31094-1,true,false,false,0,,0,829,597,24.99,29.99,39.99,29.99,2019-01-02,,0,0,Box,Retail,2,5,NA,,19.1,35.4,7,0.64,Normal,0,5702016367881,673419302142,2018-11-24T23:37:31.847
29050,31095,1,Fairground Carousel,2019,Creator,Model making,,595,3,true,31095-1,https://images.brickset.com/sets/small/31095-1.jpg,https://images.brickset.com/sets/small/31095-1.jpg,https://images.brickset.com/sets/images/31095-1.jpg,https://brickset.com/sets/31095-1,true,false,false,0,,0,1627,1317,44.99,49.99,69.99,49.99,2019-08-02,,0,0,Box,Retail,2,6,8,,,,,,Normal,0,5702016367898,,2019-06-01T04:49:55.067
29049,31096,1,Twin-Rotor Helicopter,2019,Creator,Model making,,569,1,true,31096-1,https://images.brickset.com/sets/small/31096-1.jpg,https://images.brickset.com/sets/small/31096-1.jpg,https://images.brickset.com/sets/images/31096-1.jpg,https://brickset.com/sets/31096-1,true,false,false,0,,0,343,473,44.99,59.99,79.99,49.99,2019-08-02,,0,0,Box,Retail,6,6,9,,,,,,Normal,0,5702016367904,,2019-06-01T04:49:53.993
29262,31098,1,Outback Cabin,2019,Creator,Model making,,305,2,true,31098-1,https://images.brickset.com/sets/small/31098-1.jpg,https://images.brickset.com/sets/small/31098-1.jpg,https://images.brickset.com/sets/images/31098-1.jpg,https://brickset.com/sets/31098-1,true,false,false,0,,0,679,829,24.99,29.99,39.99,29.99,2019-08-02,,0,0,Box,Retail,6,4,7,,19.1,35.8,5.6,0.539,Normal,0,5702016374988,,2019-07-08T02:09:56.38
29704,31101,1,Monster Truck,2020,Creator,Model making,,163,NA,true,31101-1,https://images.brickset.com/sets/small/31101-1.jpg,https://images.brickset.com/sets/small/31101-1.jpg,https://images.brickset.com/sets/images/31101-1.jpg,https://brickset.com/sets/31101-1,true,false,false,0,,0,70,195,12.99,14.99,19.99,14.99,2020-01-02,,0,0,Box,Retail,6,4,7,,,,,,Normal,0,5702016616279,,2019-12-31T17:22:59.883
29705,31102,1,Fire Dragon,2020,Creator,Model making,,234,NA,true,31102-1,https://images.brickset.com/sets/small/31102-1.jpg,https://images.brickset.com/sets/small/31102-1.jpg,https://images.brickset.com/sets/images/31102-1.jpg,https://brickset.com/sets/31102-1,true,false,false,0,,0,100,343,17.99,19.99,24.99,19.99,2020-01-02,,0,0,Box,Retail,6,4,NA,,,,,,Normal,0,5702016616286,,2019-12-31T17:23:02.04
29706,31103,1,Rocket Truck,2020,Creator,Model making,,198,NA,true,31103-1,https://images.brickset.com/sets/small/31103-1.jpg,https://images.brickset.com/sets/small/31103-1.jpg,https://images.brickset.com/sets/images/31103-1.jpg,https://brickset.com/sets/31103-1,true,false,false,0,,0,31,228,19.99,19.99,24.99,24.99,2020-01-02,,0,0,Box,Retail,2,4,NA,,,,,,Normal,0,5702016616293,,2019-12-31T17:23:11.057
29694,31104,1,Monster Burger Truck,2020,Creator,Model making,,499,2,true,31104-1,https://images.brickset.com/sets/small/31104-1.jpg,https://images.brickset.com/sets/small/31104-1.jpg,https://images.brickset.com/sets/images/31104-1.jpg,https://brickset.com/sets/31104-1,true,false,false,0,,0,162,1156,44.99,49.99,69.99,49.99,2020-01-02,,0,0,Box,Retail,2,4,8,,,,,,Normal,0,5702016616309,,2019-12-31T17:23:11.073
29695,31105,1,Townhouse Toy Store,2020,Creator,Model making,,554,2,true,31105-1,https://images.brickset.com/sets/small/31105-1.jpg,https://images.brickset.com/sets/small/31105-1.jpg,https://images.brickset.com/sets/images/31105-1.jpg,https://brickset.com/sets/31105-1,true,false,false,0,,0,405,1703,39.99,39.99,49.99,49.99,2020-01-02,,0,0,Box,Retail,2,4,8,,26,38,5.3,0.883,Normal,0,5702016616316,,2020-02-10T21:18:12.687
3413,65535,1,X-Pod Play Off Game Pack,2004,Creator,Model making,X-Pod,219,NA,true,65535-1,https://images.brickset.com/sets/small/65535-1.jpg,https://images.brickset.com/sets/small/65535-1.jpg,https://images.brickset.com/sets/images/65535-1.jpg,https://brickset.com/sets/65535-1,true,false,false,0,,0,146,168,NA,20,NA,NA,,,2,1,Box,Retail - limited,0,0,NA,,,,,,Collection,0,,,2012-10-08T17:11:08.66
6186,66208,1,Mr. Magoriums big book,2007,Creator,Model making,Product Collection,323,NA,true,66208-1,https://images.brickset.com/sets/small/66208-1.jpg,https://images.brickset.com/sets/small/66208-1.jpg,https://images.brickset.com/sets/images/66208-1.jpg,https://brickset.com/sets/66208-1,true,false,false,0,,0,160,206,NA,19.99,NA,NA,2007-10-24,2008-09-11,4.5,4,Box,Retail - limited,0,0,NA,,,,,,Collection,0,,,2019-07-06T04:28:24.76
8890,3061,1,City Park Cafe,2012,Friends,Girls,,222,2,true,3061-1,https://images.brickset.com/sets/small/3061-1.jpg,https://images.brickset.com/sets/small/3061-1.jpg,https://images.brickset.com/sets/images/3061-1.jpg,https://brickset.com/sets/3061-1,true,false,false,0,,0,5214,928,29.99,34.99,39.99,NA,2012-01-02,2013-12-02,4.5,6,Box,Retail,2,7,6,12,26.2,38.2,5.6,0.57,Normal,0,5702014733114,673419165570,2011-10-16T05:34:27.523
9223,3063,1,Heartlake Flying Club,2012,Friends,Girls,,195,1,true,3063-1,https://images.brickset.com/sets/small/3063-1.jpg,https://images.brickset.com/sets/small/3063-1.jpg,https://images.brickset.com/sets/images/3063-1.jpg,https://brickset.com/sets/3063-1,true,false,false,0,,0,2104,689,19.99,19.99,24.99,NA,2012-07-23,2013-12-16,3.5,2,Box,Retail,2,6,6,12,,,,,Normal,0,5702014831483,673419165846,2012-05-01T07:59:30.28
8892,3065,1,Olivia's Tree House,2012,Friends,Girls,,191,1,true,3065-1,https://images.brickset.com/sets/small/3065-1.jpg,https://images.brickset.com/sets/small/3065-1.jpg,https://images.brickset.com/sets/images/3065-1.jpg,https://brickset.com/sets/3065-1,true,false,false,0,,0,4962,862,19.99,19.99,24.99,NA,2012-01-02,2013-11-05,4.25,4,Box,Retail,2,6,6,12,19.1,35.4,5.9,0.38,Normal,0,5702014733145,673419165624,2011-10-16T05:40:25.88
8893,3183,1,Stephanie's Cool Convertible,2012,Friends,Girls,,130,1,true,3183-1,https://images.brickset.com/sets/small/3183-1.jpg,https://images.brickset.com/sets/small/3183-1.jpg,https://images.brickset.com/sets/images/3183-1.jpg,https://brickset.com/sets/3183-1,true,false,false,0,,0,4240,599,14.99,14.99,17.99,NA,2012-01-02,2013-11-05,4.5,4,Box,Retail,2,6,6,12,14.1,26.2,4.8,0.21,Normal,0,5702014733152,673419165631,2011-10-16T05:34:55.573
9187,3184,1,Adventure Camper,2012,Friends,Girls,,309,2,true,3184-1,https://images.brickset.com/sets/small/3184-1.jpg,https://images.brickset.com/sets/small/3184-1.jpg,https://images.brickset.com/sets/images/3184-1.jpg,https://brickset.com/sets/3184-1,true,false,false,0,,0,3524,956,29.99,34.99,39.99,NA,2012-07-23,2013-11-05,0,0,Box,Retail,4,6,6,12,26.2,38.2,5.6,0.47,Normal,0,5702014733169,673419165655,2012-05-01T07:59:33.39
9189,3186,1,Emma's Horse Trailer,2012,Friends,Girls,,218,1,true,3186-1,https://images.brickset.com/sets/small/3186-1.jpg,https://images.brickset.com/sets/small/3186-1.jpg,https://images.brickset.com/sets/images/3186-1.jpg,https://brickset.com/sets/3186-1,true,false,false,0,,0,2995,836,19.99,24.99,29.99,NA,2012-08-28,2014-06-13,4.5,2,Box,Retail,2,6,6,12,,,,,Normal,0,5702014733176,673419165679,2012-05-01T07:59:34.577
8891,3187,1,Butterfly Beauty Shop,2012,Friends,Girls,,221,2,true,3187-1,https://images.brickset.com/sets/small/3187-1.jpg,https://images.brickset.com/sets/small/3187-1.jpg,https://images.brickset.com/sets/images/3187-1.jpg,https://brickset.com/sets/3187-1,true,false,false,0,,0,2834,878,24.99,24.99,29.99,NA,2012-01-02,2012-12-03,5,1,Box,Retail,2,6,6,12,26.19,28.19,6.4,0.47,Normal,0,,673419165686,2011-10-16T05:34:30.147
8889,3188,1,Heartlake Vet,2012,Friends,Girls,,343,2,true,3188-1,https://images.brickset.com/sets/small/3188-1.jpg,https://images.brickset.com/sets/small/3188-1.jpg,https://images.brickset.com/sets/images/3188-1.jpg,https://brickset.com/sets/3188-1,true,false,false,0,,0,3330,920,39.99,44.99,49.99,NA,2012-01-02,2013-11-05,0,0,Box,Retail,2,6,6,12,28.2,48,6.1,0.82,Normal,0,5702014831513,673419165860,2011-10-16T05:34:32.403
9190,3189,1,Heartlake Stables,2012,Friends,Girls,,401,2,true,3189-1,https://images.brickset.com/sets/small/3189-1.jpg,https://images.brickset.com/sets/small/3189-1.jpg,https://images.brickset.com/sets/images/3189-1.jpg,https://brickset.com/sets/3189-1,true,false,false,0,,0,2393,911,49.99,49.99,64.99,NA,2012-07-24,2013-11-05,4,1,Box,Retail,6,7,6,12,28.2,54,5.9,0.95,Normal,0,5702014733206,673419165693,2012-05-01T07:59:36.23
9267,3316,1,Friends Advent Calendar,2012,Friends,Girls,Seasonal,193,2,true,3316-1,https://images.brickset.com/sets/small/3316-1.jpg,https://images.brickset.com/sets/small/3316-1.jpg,https://images.brickset.com/sets/images/3316-1.jpg,https://brickset.com/sets/3316-1,true,false,false,0,,0,1863,573,19.99,34.99,NA,NA,,,4,2,Box,Retail - limited,1,9,5,12,26.19,38.2,7.06,0.35,Normal,0,5702014733237,673419165617,2014-10-13T13:06:17.53
8894,3942,1,Heartlake Dog Show,2012,Friends,Girls,,183,1,true,3942-1,https://images.brickset.com/sets/small/3942-1.jpg,https://images.brickset.com/sets/small/3942-1.jpg,https://images.brickset.com/sets/images/3942-1.jpg,https://brickset.com/sets/3942-1,true,false,false,0,,0,1871,765,19.99,19.99,24.99,NA,2012-01-02,2012-11-23,0,0,Box,Retail,2,6,5,12,19.1,35.41,5.89,0.37,Normal,0,,673419165839,2011-10-16T05:34:42.51
22408,40080,1,Friends Pencil Holder,2013,Friends,Girls,,138,NA,true,40080-1,https://images.brickset.com/sets/small/40080-1.jpg,https://images.brickset.com/sets/small/40080-1.jpg,https://images.brickset.com/sets/images/40080-1.jpg,https://brickset.com/sets/40080-1,true,false,false,0,,0,825,493,10.49,14.99,17.99,12.99,2013-03-01,2016-02-06,3,1,Box,LEGO exclusive,1,2,6,,,,,0.26,Normal,0,,673419196543,2013-04-03T23:40:33.663
23677,40112,1,Catwalk phone stand,2014,Friends,Girls,,144,NA,true,40112-1,https://images.brickset.com/sets/small/40112-1.jpg,https://images.brickset.com/sets/small/40112-1.jpg,https://images.brickset.com/sets/images/40112-1.jpg,https://brickset.com/sets/40112-1,true,false,false,0,,0,556,449,10.99,14.99,17.99,12.99,2014-06-03,2015-04-08,0,0,Box,LEGO exclusive,1,2,6,,,,,,Normal,0,,,2016-04-13T08:28:39.967
23288,40114,1,Buildable Jewellery Box,2014,Friends,Girls,,201,NA,true,40114-1,https://images.brickset.com/sets/small/40114-1.jpg,https://images.brickset.com/sets/small/40114-1.jpg,https://images.brickset.com/sets/images/40114-1.jpg,https://brickset.com/sets/40114-1,true,false,false,0,,0,762,386,10.99,14.99,17.99,12.99,2014-01-04,2016-11-20,4.5,2,{Not specified},{Not specified},1,3,6,,,,,0.35,Normal,0,,673419215169,2013-12-30T13:18:14.013
24539,40156,1,Organiser,2015,Friends,Girls,,171,NA,true,40156-1,https://images.brickset.com/sets/small/40156-1.jpg,https://images.brickset.com/sets/small/40156-1.jpg,https://images.brickset.com/sets/images/40156-1.jpg,https://brickset.com/sets/40156-1,true,false,false,0,,0,545,265,12.99,16.99,21.99,14.99,2015-06-01,2017-04-01,0,0,Box,LEGO exclusive,1,3,7,,,,,,Normal,0,,,2015-05-19T04:06:38.873
